Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,total_sqft
1044,160,RM,21.0,1680,Pave,No Alley,9,Lvl,1,Inside,4,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,9,9,CBlock,9,9,1,25,387.0,1,0.0,96.0,483.0,GasA,9,1,16,483,504,0,0.0,0.0,1,1,2,1,9,49,0,0,Detchd,1971.0,1,264.0,9,9,Y,0,0,0,0,0,0,0,0,No Feature,0,7,2008,COD,85400,1470.0
2752,20,RL,64.0,7488,Pave,No Alley,4,Lvl,1,Inside,4,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,16,9,PConc,16,9,9,36,393.0,1,0.0,815.0,1208.0,GasA,25,1,16,1208,0,0,0.0,0.0,2,0,2,1,16,49,0,0,Attchd,2005.0,4,632.0,9,9,Y,105,58,0,0,0,0,0,0,No Feature,0,2,2006,WD ,183600,2416.0
807,70,RL,120.0,26400,Pave,No Alley,9,Bnk,1,FR2,4,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,16,9,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,25,1,16,1288,728,0,0.0,0.0,1,0,4,1,9,16,1,9,Attchd,1900.0,1,576.0,9,9,P,0,0,0,0,0,0,0,0,No Feature,0,6,2009,WD ,131000,2016.0
1177,160,FV,24.0,2645,Pave,Pave,9,Lvl,1,Inside,4,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,16,9,PConc,16,9,1,36,813.0,1,0.0,147.0,960.0,GasA,25,1,16,962,645,0,1.0,0.0,2,1,3,1,16,49,0,0,Detchd,2000.0,1,480.0,9,9,Y,169,0,0,0,0,0,0,0,No Feature,0,12,2008,ConLD,200000,2567.0
1480,20,RL,74.0,9627,Pave,No Alley,9,Lvl,1,Inside,4,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,16,9,PConc,16,9,9,36,24.0,1,0.0,1327.0,1351.0,GasA,25,1,16,1361,0,0,0.0,0.0,2,0,3,1,16,49,0,0,Attchd,2007.0,4,610.0,9,9,Y,0,50,0,0,0,0,0,0,No Feature,0,6,2008,WD ,193000,2712.0
324,20,RL,93.0,10114,Pave,No Alley,9,Lvl,1,Inside,4,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,9,9,PConc,25,9,9,1,0.0,1,0.0,1430.0,1430.0,GasA,25,1,16,1430,0,0,0.0,0.0,2,0,3,1,16,49,0,0,Attchd,2004.0,4,624.0,9,9,Y,0,0,0,0,0,0,0,0,No Feature,0,3,2010,WD ,173500,2860.0
1311,70,RM,34.0,4571,Pave,Grvl,9,Lvl,1,Inside,4,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,9,9,BrkTil,9,9,1,1,0.0,1,0.0,624.0,624.0,GasA,4,0,16,624,720,0,0.0,0.0,1,0,4,1,9,49,0,0,Detchd,1916.0,1,513.0,4,4,Y,0,0,96,0,0,0,0,0,No Feature,0,5,2008,COD,98000,1968.0
770,20,RL,80.0,8816,Pave,No Alley,9,Lvl,1,Corner,4,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,9,9,PConc,9,9,1,9,651.0,1,0.0,470.0,1121.0,GasA,9,1,16,1121,0,0,1.0,0.0,1,0,3,1,9,49,0,0,Detchd,1963.0,1,480.0,9,9,Y,0,80,0,0,0,0,0,9,No Feature,0,6,2009,WD ,139000,2242.0
2063,20,RL,71.0,8197,Pave,No Alley,9,Lvl,1,Inside,4,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,9,9,CBlock,9,9,1,1,0.0,1,0.0,660.0,660.0,GasA,25,1,16,1285,0,0,0.0,0.0,1,1,3,1,9,49,1,9,Attchd,1977.0,4,528.0,9,9,Y,138,0,0,0,0,0,0,9,No Feature,0,4,2007,WD ,143500,1945.0
69,60,FV,72.0,8640,Pave,No Alley,9,Lvl,1,Inside,4,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,9,9,PConc,16,9,4,36,24.0,1,0.0,732.0,756.0,GasA,25,1,16,764,783,0,0.0,0.0,2,1,3,1,16,49,0,0,Attchd,2009.0,1,614.0,9,9,Y,169,45,0,0,0,0,0,0,No Feature,0,6,2010,Con,215200,2303.0
2062,20,RL,109.0,8724,Pave,No Alley,9,Lvl,1,Inside,4,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,9,9,CBlock,16,9,1,16,492.0,1,0.0,402.0,894.0,GasA,16,1,16,894,0,0,0.0,0.0,1,0,3,1,9,49,1,1,Attchd,1968.0,9,450.0,9,9,Y,0,0,0,0,0,0,0,0,No Feature,0,5,2007,WD ,129000,1788.0
351,120,RL,40.0,5664,Pave,No Alley,4,Lvl,1,Inside,4,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,16,9,PConc,16,9,1,36,1158.0,1,0.0,343.0,1501.0,GasA,25,1,16,1659,0,0,1.0,0.0,2,0,2,1,25,49,1,25,Attchd,2000.0,9,499.0,9,9,Y,212,59,0,0,0,0,0,0,No Feature,0,10,2009,WD ,278000,3160.0
2393,60,RL,103.0,12867,Pave,No Alley,4,Lvl,1,Corner,4,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,16,9,PConc,25,9,9,1,0.0,1,0.0,1209.0,1209.0,GasA,25,1,16,1209,1044,0,0.0,0.0,2,1,3,1,25,49,1,16,Attchd,2005.0,9,575.0,9,9,Y,243,142,0,0,0,0,0,0,No Feature,0,7,2006,New,344133,3462.0
12,20,RL,0.0,7980,Pave,No Alley,4,Lvl,1,Inside,4,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,9,16,PConc,16,9,1,25,935.0,1,0.0,233.0,1168.0,GasA,25,1,16,1187,0,0,1.0,0.0,2,0,3,1,9,49,0,0,Attchd,1992.0,9,420.0,9,9,Y,483,21,0,0,0,0,0,16,Shed,500,3,2010,WD ,185000,2355.0
2339,190,RL,100.0,34650,Pave,No Alley,9,Bnk,1,Inside,4,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,9,9,CBlock,9,9,4,9,1056.0,1,0.0,0.0,1056.0,GasA,9,0,16,1056,0,0,1.0,0.0,1,0,3,1,9,49,0,0,Attchd,1955.0,9,572.0,9,9,Y,264,0,0,0,0,0,0,0,No Feature,0,1,2006,WD ,145000,2112.0
624,20,RL,92.0,10573,Pave,No Alley,4,Lvl,1,Corner,4,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,9,9,CBlock,9,9,1,9,1312.0,1,0.0,141.0,1453.0,GasA,25,1,16,1453,0,0,1.0,0.0,2,0,3,1,9,49,1,9,Attchd,1961.0,4,530.0,9,9,Y,0,49,0,0,288,0,0,16,No Feature,0,4,2009,WD ,187500,2906.0
86,20,RL,65.0,8450,Pave,No Alley,9,Lvl,1,Inside,4,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,9,16,CBlock,9,9,1,36,553.0,16,117.0,224.0,894.0,GasA,25,1,16,894,0,0,1.0,0.0,1,0,3,1,9,49,1,16,Detchd,1973.0,1,336.0,9,9,Y,416,144,0,0,0,0,0,9,No Feature,0,4,2010,WD ,138500,1788.0
1534,50,RL,0.0,11700,Pave,Grvl,4,HLS,1,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,9,9,CBlock,9,9,1,16,606.0,1,0.0,336.0,942.0,GasA,25,1,16,1265,673,0,0.0,0.0,2,0,4,1,16,25,1,16,Detchd,1937.0,1,240.0,9,9,Y,0,40,0,0,0,0,0,0,No Feature,0,7,2008,WD ,198000,2880.0
2243,190,C (all),75.0,8250,Pave,No Alley,9,Lvl,1,Inside,4,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,9,16,CBlock,9,9,1,1,0.0,1,0.0,957.0,957.0,GasA,4,0,16,1034,957,0,0.0,0.0,2,0,4,2,9,49,0,0,No Garage,0.0,0,0.0,0,0,N,0,0,133,0,0,0,0,0,No Feature,0,6,2007,WD ,119600,2948.0
1957,50,RL,60.0,8064,Pave,No Alley,9,Lvl,1,Corner,4,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,9,16,CBlock,9,9,4,1,0.0,1,0.0,672.0,672.0,GasA,25,1,16,672,252,0,0.0,0.0,1,0,3,1,9,49,1,1,Detchd,2003.0,1,576.0,9,9,Y,0,0,0,0,0,0,0,9,Shed,2000,7,2007,WD ,122900,1596.0
380,20,RL,80.0,9600,Pave,No Alley,9,Lvl,1,Inside,4,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,16,9,PConc,16,9,1,25,1104.0,1,0.0,1420.0,2524.0,GasA,9,1,16,2524,0,0,1.0,0.0,2,1,4,1,16,49,1,16,Attchd,1981.0,9,542.0,9,9,Y,474,120,0,0,0,0,0,9,No Feature,0,7,2009,WD ,278000,5048.0
2860,70,RL,0.0,11435,Pave,No Alley,4,HLS,1,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,9,9,PConc,16,9,1,1,0.0,1,0.0,792.0,792.0,GasA,4,1,16,792,725,0,0.0,0.0,1,0,3,1,16,49,2,16,Detchd,1931.0,1,400.0,9,9,Y,0,0,0,0,0,0,0,0,No Feature,0,6,2006,WD ,230000,2309.0
2517,120,RL,30.0,9549,Pave,No Alley,4,Lvl,1,CulDSac,4,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,16,16,PConc,16,16,9,4,437.0,36,1057.0,0.0,1494.0,GasA,25,1,16,1494,0,0,1.0,0.0,1,1,2,1,25,49,1,16,Attchd,1995.0,9,481.0,9,9,Y,0,30,0,0,216,0,0,0,No Feature,0,4,2006,WD ,270000,2988.0
1933,20,RL,60.0,10950,Pave,No Alley,9,Lvl,1,Inside,4,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,9,9,CBlock,9,9,1,25,441.0,1,0.0,507.0,948.0,GasA,9,1,16,948,0,0,0.0,0.0,1,0,2,1,9,49,0,0,Detchd,1952.0,1,410.0,9,9,N,0,48,0,0,0,0,0,0,No Feature,0,4,2007,WD ,125000,1896.0
820,20,RL,79.0,10637,Pave,No Alley,9,Lvl,1,Inside,4,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,16,9,PConc,25,9,16,36,1288.0,1,0.0,417.0,1705.0,GasA,25,1,16,1718,0,0,1.0,0.0,2,0,3,1,16,49,1,16,Attchd,2007.0,4,826.0,9,9,Y,208,44,0,0,0,0,0,0,No Feature,0,9,2009,WD ,297000,3423.0
675,20,RL,80.0,9000,Pave,No Alley,4,HLS,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,9,9,CBlock,16,9,16,1,0.0,1,0.0,160.0,160.0,GasA,4,1,16,1142,0,0,0.0,0.0,1,0,2,1,9,49,1,16,Basment,1958.0,4,384.0,9,9,Y,0,28,64,0,0,0,0,0,No Feature,0,4,2009,WD ,113500,1302.0
2910,160,RM,41.0,2665,Pave,No Alley,9,Lvl,1,Inside,4,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,9,9,PConc,9,9,1,25,548.0,9,173.0,36.0,757.0,GasA,25,1,16,925,550,0,0.0,0.0,2,0,4,1,9,49,1,9,Attchd,1977.0,4,336.0,9,9,Y,104,26,0,0,0,0,0,0,No Feature,0,7,2006,WD ,127000,2232.0
21,20,RL,105.0,11751,Pave,No Alley,4,Lvl,1,Inside,4,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,9,9,CBlock,16,9,1,16,705.0,1,0.0,1139.0,1844.0,GasA,25,1,16,1844,0,0,0.0,0.0,2,0,3,1,9,49,1,9,Attchd,1977.0,4,546.0,9,9,Y,0,122,0,0,0,0,0,9,No Feature,0,1,2010,COD,190000,3688.0
1873,20,RL,80.0,9600,Pave,No Alley,9,Lvl,1,Inside,4,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,9,9,CBlock,9,9,1,25,916.0,1,0.0,326.0,1242.0,GasA,4,1,16,1242,0,0,0.0,0.0,1,1,3,1,9,49,1,9,Attchd,1973.0,1,528.0,9,9,Y,0,0,0,0,0,0,0,0,No Feature,0,9,2007,WD ,175500,2484.0
2125,20,RL,60.0,8428,Pave,No Alley,1,Lvl,1,Inside,4,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,9,16,PConc,16,16,1,36,420.0,1,0.0,570.0,990.0,GasA,25,1,16,990,0,0,1.0,0.0,1,0,3,1,9,49,0,0,Detchd,1995.0,1,384.0,9,9,Y,256,0,0,0,0,0,0,0,No Feature,0,7,2007,WD ,146000,1980.0
1489,20,RL,75.0,9937,Pave,No Alley,9,Lvl,1,Inside,4,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,16,9,CBlock,9,9,1,16,830.0,4,290.0,136.0,1256.0,GasA,16,1,16,1256,0,0,1.0,0.0,1,1,3,1,9,49,0,0,Attchd,1965.0,9,276.0,9,9,Y,736,68,0,0,0,0,0,0,No Feature,0,6,2008,WD ,147500,2512.0
2383,20,RL,107.0,13891,Pave,No Alley,9,Lvl,1,Inside,4,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,25,9,PConc,25,16,16,36,1386.0,1,0.0,690.0,2076.0,GasA,25,1,16,2076,0,0,1.0,0.0,2,1,2,1,25,49,1,16,Attchd,2006.0,9,850.0,9,9,Y,216,229,0,0,0,0,0,0,No Feature,0,9,2006,New,465000,4152.0
983,85,RL,0.0,9101,Pave,No Alley,4,Lvl,1,Corner,4,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,9,16,PConc,16,9,9,36,1097.0,1,0.0,0.0,1097.0,GasA,25,1,16,1110,0,0,1.0,0.0,1,0,1,1,16,49,1,9,Attchd,1978.0,9,602.0,9,9,Y,303,30,0,0,0,0,0,0,No Feature,0,7,2009,WD ,165500,2207.0
1325,50,RM,81.0,12150,Pave,Grvl,9,Lvl,1,Inside,4,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,9,9,BrkTil,9,9,1,1,0.0,1,0.0,1050.0,1050.0,GasA,25,0,4,1050,745,0,0.0,0.0,2,0,4,1,9,49,0,0,Attchd,1954.0,1,352.0,4,9,Y,0,0,0,0,0,0,0,0,No Feature,0,11,2008,WD ,131500,2845.0
1378,20,RL,70.0,11200,Pave,No Alley,9,Lvl,1,Inside,4,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,9,9,CBlock,9,9,1,9,906.0,1,0.0,134.0,1040.0,GasA,25,1,16,1040,0,0,1.0,0.0,1,0,3,1,9,49,0,0,Detchd,1965.0,1,384.0,9,9,Y,0,0,0,0,0,0,0,0,No Feature,0,2,2008,WD ,129500,2080.0
1537,70,RL,100.0,9670,Pave,No Alley,4,HLS,1,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,9,9,PConc,9,4,1,4,210.0,1,0.0,398.0,608.0,GasA,9,1,16,983,890,0,0.0,0.0,1,1,4,1,9,49,2,16,Detchd,1935.0,9,786.0,4,9,Y,0,0,207,0,0,0,0,0,No Feature,0,6,2008,WD ,257076,2481.0
905,50,RL,60.0,10998,Pave,Grvl,9,Lvl,1,Inside,4,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,9,9,CBlock,9,9,1,4,408.0,16,420.0,156.0,984.0,GasA,25,1,16,984,620,0,0.0,0.0,2,0,3,1,9,25,0,0,Detchd,1977.0,1,660.0,9,9,Y,0,68,0,0,0,0,0,0,No Feature,0,7,2009,WD ,117000,2588.0
1532,70,RL,60.0,7200,Pave,No Alley,9,HLS,1,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,9,4,BrkTil,16,9,1,1,0.0,1,0.0,776.0,776.0,GasA,9,1,16,851,651,0,0.0,0.0,1,1,3,1,9,49,1,16,Attchd,1931.0,4,270.0,9,9,P,0,0,112,0,0,0,0,9,No Feature,0,2,2008,WD ,149000,2278.0
132,20,RL,80.0,9920,Pave,No Alley,9,Lvl,1,Inside,4,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,9,9,CBlock,9,9,1,9,354.0,4,290.0,412.0,1056.0,GasA,9,1,16,1063,0,0,1.0,0.0,1,0,3,1,9,49,0,0,Attchd,1954.0,4,280.0,9,9,Y,0,0,164,0,0,0,0,9,No Feature,0,2,2010,WD ,128000,2119.0
1078,160,RL,36.0,2448,Pave,No Alley,9,Lvl,1,Inside,4,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,16,9,PConc,16,9,1,1,0.0,1,0.0,764.0,764.0,GasA,25,1,16,764,862,0,0.0,0.0,2,1,2,1,16,49,0,0,BuiltIn,2003.0,4,474.0,9,9,Y,0,27,0,0,0,0,0,0,No Feature,0,10,2008,WD ,155000,2390.0
2511,160,FV,0.0,2998,Pave,No Alley,9,Lvl,1,Inside,4,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,16,9,PConc,16,9,1,36,353.0,1,0.0,403.0,756.0,GasA,25,1,16,768,756,0,0.0,0.0,2,1,2,1,16,49,0,0,Detchd,2000.0,1,440.0,9,9,Y,0,32,0,0,0,0,0,0,No Feature,0,6,2006,WD ,166000,2280.0
912,50,RL,65.0,7804,Pave,No Alley,9,Lvl,1,Inside,4,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,9,9,BrkTil,9,9,1,16,622.0,1,0.0,500.0,1122.0,GasA,9,1,16,1328,653,0,1.0,0.0,2,0,4,1,16,25,2,9,Detchd,1981.0,1,576.0,9,9,Y,431,44,0,0,0,0,0,9,No Feature,0,12,2009,WD ,135000,3103.0
2351,60,RL,80.0,16692,Pave,No Alley,4,Lvl,1,Inside,4,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,9,9,CBlock,16,9,1,16,790.0,4,469.0,133.0,1392.0,GasA,9,1,16,1392,1392,0,1.0,0.0,3,1,5,1,16,49,2,9,Attchd,1978.0,4,564.0,9,9,Y,0,112,0,0,440,519,1,9,TenC,2000,7,2006,WD ,250000,4176.0
