comp_shingle_roof,masonry_area,bsmt_cond,forced_air_or_other,heating_qual,has_central_air,electrical_qual,functionality,num_fireplaces,fireplace_qual,kitchen_qual,driveway_paved,has_wood_deck,has_open_porch,has_encl_porch,has_3ssn_porch,has_screen_porch,Fence,sqft_per_room,tot_fin_sqft,SalePrice,bsmt_fin_int,garage_qc,pool_qual_int,exterior_qc,overall_qc,siding_type_MetalSd,siding_type_Other,siding_type_Plywood,siding_type_VinylSd,siding_type_Wd Sdng,masonry_type_BrkFace,masonry_type_None,masonry_type_Stone
1,143.0,9,1,9,1,25,64,0,0,9,1,1,1,0,0,0,9,193.14285714285714,1723.0,158000,26,81,0,81,42,0,0,0,0,0,0,0,1
1,0.0,9,1,25,1,25,64,0,0,16,1,0,1,0,0,0,0,300.0,1610.0,149500,61,81,0,144,35,1,0,0,0,0,0,1,0
1,0.0,9,1,9,1,16,64,0,0,9,1,0,0,1,0,0,9,187.2,1422.0,121000,17,81,0,144,30,1,0,0,0,0,0,1,0
1,0.0,9,1,9,1,9,64,0,0,9,1,0,0,0,0,0,9,173.33333333333334,2080.0,136000,34,81,0,81,42,0,0,0,0,1,0,1,0
1,0.0,9,1,16,1,25,64,1,9,9,1,1,1,0,0,0,0,233.71428571428572,1774.0,173000,10,81,0,81,30,0,0,0,0,0,0,1,0
1,348.0,9,1,25,1,25,64,1,16,16,1,1,1,0,0,0,0,252.22222222222223,2794.0,290000,37,81,0,144,56,0,0,0,1,0,1,0,0
1,0.0,9,1,25,1,25,64,1,16,25,1,1,1,0,0,0,0,237.27272727272728,2674.0,303477,37,81,0,144,40,0,1,0,0,0,0,1,0
1,0.0,9,1,16,1,25,64,1,9,9,1,1,0,0,0,0,0,370.75,2575.0,270000,26,81,0,256,49,0,0,0,0,1,0,1,0
1,0.0,9,1,16,0,16,64,1,16,25,0,0,0,1,0,0,0,290.0,2100.0,122250,10,16,0,16,25,0,1,0,0,0,0,1,0
1,0.0,9,1,16,1,16,64,0,0,16,1,1,0,0,0,0,4,230.33333333333334,2037.0,153000,13,81,0,81,25,0,1,0,0,0,0,1,0
1,0.0,9,1,25,1,25,64,0,0,9,1,0,1,0,0,0,0,186.66666666666666,1326.0,147000,26,0,0,81,25,0,0,0,1,0,0,1,0
1,0.0,9,1,9,1,25,64,1,16,9,1,0,0,0,0,0,9,219.6,1344.0,148500,37,81,0,81,56,0,0,0,0,1,0,1,0
1,117.0,9,1,25,1,25,16,0,0,16,1,0,1,0,0,0,0,244.0,1708.0,130000,2,81,0,144,35,0,0,0,1,0,0,0,1
1,510.0,9,1,25,1,25,64,1,16,25,1,1,1,0,0,0,0,257.42857142857144,1802.0,372000,2,81,0,225,45,1,0,0,0,0,0,0,1
1,145.0,9,1,25,1,25,64,1,16,16,1,1,1,0,0,0,0,251.0,1522.0,213490,37,81,0,144,35,0,0,0,1,0,1,0,0
1,96.0,9,1,25,1,25,64,1,9,16,1,0,0,0,0,0,0,301.6,2854.0,308030,37,81,0,144,35,0,0,0,1,0,0,0,1
1,668.0,9,1,25,1,25,64,0,0,16,1,0,1,1,0,0,0,290.2857142857143,2732.0,300000,37,81,0,144,35,1,0,0,0,0,1,0,0
1,0.0,9,1,25,1,25,64,1,4,9,1,0,0,1,0,0,0,199.0,1849.0,159500,26,81,0,81,36,0,1,0,0,0,0,1,0
1,50.0,9,1,25,1,25,16,0,0,16,1,0,1,0,0,0,0,244.14285714285714,1709.0,137500,2,81,0,144,35,0,0,0,1,0,0,0,1
1,228.0,9,1,25,1,25,64,0,0,16,1,1,1,0,0,0,0,230.85714285714286,1616.0,232000,2,81,0,144,35,0,0,0,1,0,1,0,0
1,0.0,9,1,9,1,25,64,0,0,9,0,0,0,1,0,0,0,192.0,768.0,93850,2,81,0,256,36,0,1,0,0,0,0,1,0
1,65.0,9,1,4,0,9,25,1,16,4,0,0,0,1,0,0,0,174.4,872.0,105000,2,16,0,81,25,0,1,0,0,0,0,0,1
1,0.0,9,1,4,0,25,64,0,0,4,1,1,0,1,0,0,0,130.0,520.0,68500,2,36,0,81,24,1,0,0,0,0,0,1,0
1,361.0,9,1,9,1,16,64,0,0,9,1,0,0,0,0,0,0,189.5,2717.0,154300,10,81,0,81,25,1,0,0,0,0,1,0,0
1,0.0,1,1,25,1,25,64,0,0,9,0,0,0,0,1,0,0,266.8333333333333,1601.0,129850,2,0,0,256,35,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,64,0,0,9,1,1,0,1,0,0,0,205.33333333333334,1400.0,114000,17,16,0,81,35,1,0,0,0,0,0,1,0
1,748.0,9,1,25,1,25,64,1,16,25,1,0,1,0,0,0,0,248.22222222222223,4138.0,501837,37,81,0,225,45,0,0,0,1,0,0,0,1
1,0.0,9,1,16,1,25,64,1,16,9,1,1,0,1,0,0,0,202.28571428571428,1416.0,153900,2,81,0,81,40,0,0,0,0,1,0,1,0
1,0.0,9,1,16,1,25,64,0,0,9,1,1,0,0,0,0,4,172.8,1104.0,130000,26,81,0,144,28,0,0,0,1,0,0,1,0
1,197.0,9,1,25,1,25,64,0,0,9,1,0,1,0,0,0,0,297.25,2053.0,160500,37,81,0,81,30,0,0,0,1,0,1,0,0
1,572.0,16,1,25,1,25,64,1,16,16,1,1,1,0,0,0,0,277.6666666666667,2081.0,310090,37,81,0,225,45,1,0,0,0,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,16,1,0,1,0,0,0,0,240.0,2033.0,184900,37,81,0,144,35,0,0,0,1,0,0,1,0
1,0.0,9,1,9,1,25,64,0,0,9,1,1,0,1,0,0,0,232.0,1305.0,132000,10,81,0,81,35,0,0,0,0,1,0,1,0
1,128.0,9,1,9,1,25,64,1,4,9,1,1,1,0,0,0,0,222.66666666666666,2036.0,163000,34,81,0,81,25,0,0,0,0,0,1,0,0
1,120.0,9,1,25,1,25,64,0,0,16,1,0,1,0,0,0,0,300.0,1480.0,155000,37,81,0,144,35,1,0,0,0,0,1,0,0
1,0.0,9,1,16,1,25,64,0,0,9,1,0,0,0,0,1,0,203.85714285714286,2255.0,183000,37,81,0,81,36,1,0,0,0,0,0,1,0
1,254.0,9,1,25,1,25,36,1,9,16,1,1,1,0,0,0,0,284.57142857142856,2754.0,211000,37,81,0,144,35,0,0,0,1,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,16,1,1,1,0,0,0,0,256.6666666666667,2172.0,184000,40,81,0,144,35,0,0,0,1,0,0,1,0
1,0.0,0,1,9,1,25,64,0,0,9,1,0,0,0,0,0,16,191.875,1535.0,118858,0,81,0,81,25,0,0,0,0,0,0,1,0
1,86.0,9,1,9,1,25,64,1,16,9,1,1,0,0,0,0,0,192.0,2166.0,180500,37,81,0,81,35,0,0,0,0,1,1,0,0
1,30.0,9,1,25,1,25,64,0,0,16,1,0,1,0,0,0,0,230.2,1211.0,166000,37,81,0,144,40,0,0,0,1,0,0,0,1
1,54.0,9,1,25,1,25,64,1,9,9,1,0,0,0,0,1,9,189.66666666666666,1726.0,148000,17,81,0,81,30,0,0,0,0,1,1,0,0
1,0.0,9,1,16,1,25,49,1,16,16,1,0,1,0,0,0,4,179.0,1718.0,124000,13,81,0,81,25,0,0,0,0,1,0,1,0
1,246.0,9,1,25,1,25,64,1,16,25,1,1,1,0,0,0,0,260.1666666666667,2714.0,277500,37,81,0,225,45,1,0,0,0,0,1,0,0
1,397.0,9,1,25,1,25,64,1,25,16,1,1,1,1,0,0,0,302.8888888888889,3253.0,350000,26,81,0,144,40,0,0,0,1,0,1,0,0
1,296.0,9,1,25,1,25,64,1,16,25,1,1,1,0,0,0,0,269.14285714285717,3221.0,387000,37,81,0,225,45,0,0,0,1,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,9,0,0,0,1,0,0,0,121.0,953.0,86000,26,0,0,81,28,0,0,0,0,1,0,1,0
1,0.0,25,1,25,1,25,64,1,16,25,1,1,1,0,0,0,4,278.5,3097.0,290000,45,81,0,625,72,0,0,0,1,0,0,1,0
1,0.0,9,1,9,0,25,64,0,0,9,0,0,1,1,0,0,0,159.4,797.0,44000,2,0,0,36,9,0,1,0,0,0,0,1,0
1,0.0,9,1,25,1,25,64,1,9,16,1,1,1,0,0,0,0,280.14285714285717,2651.0,215000,26,81,0,81,30,0,0,0,1,0,0,1,0
1,144.0,9,1,25,1,25,64,0,0,9,1,1,1,0,0,0,9,198.83333333333334,2155.0,146500,37,81,0,81,30,0,0,1,0,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,16,1,1,1,0,0,0,0,230.33333333333334,2023.0,165000,37,81,0,144,35,1,0,0,0,0,0,1,0
1,0.0,9,0,9,0,25,64,1,16,16,1,1,1,0,0,0,4,252.6,3240.0,136000,13,81,0,144,42,0,1,0,0,0,0,1,0
1,902.0,9,1,25,1,25,49,1,16,25,1,0,1,0,0,0,0,347.5,2500.0,252000,26,81,0,81,36,0,0,0,0,1,0,0,1
1,106.0,9,1,25,1,25,64,0,0,16,1,0,1,0,0,0,0,271.0,1626.0,175500,2,81,0,144,35,0,0,0,1,0,0,0,1
1,0.0,9,1,9,1,16,64,1,16,9,1,0,1,0,0,1,9,222.57142857142858,1979.0,150000,26,81,0,81,30,0,0,0,0,1,0,1,0
1,0.0,9,1,9,1,25,49,1,9,9,1,0,0,1,0,0,4,237.0,1422.0,139900,2,81,0,81,25,0,0,0,0,1,0,1,0
1,0.0,9,1,9,1,25,64,1,16,9,0,0,0,0,0,0,0,196.625,1573.0,162900,2,81,0,81,35,1,0,0,0,0,0,1,0
1,261.0,9,1,9,1,25,64,0,0,9,1,0,0,0,0,1,0,223.2,1116.0,160000,2,81,0,81,36,0,0,0,0,1,1,0,0
1,0.0,0,1,4,0,25,36,0,0,4,0,0,0,1,0,0,0,132.0,660.0,63900,0,0,0,81,4,0,0,0,0,1,0,1,0
1,144.0,9,1,16,1,25,64,1,9,9,1,0,0,0,0,0,0,243.85714285714286,2539.0,184000,26,81,0,81,30,0,0,0,0,0,1,0,0
1,132.0,9,1,9,1,25,64,1,16,4,1,0,1,0,0,1,0,244.33333333333334,1642.0,149900,17,81,0,81,20,0,0,0,0,0,1,0,0
1,260.0,9,1,25,1,25,64,1,9,25,1,1,1,0,0,0,0,327.6,2665.0,300000,37,81,0,144,45,1,0,0,0,0,1,0,0
0,275.0,9,1,16,1,25,25,1,9,9,1,1,1,0,0,0,0,245.85714285714286,2709.0,145000,10,81,0,81,15,0,0,1,0,0,0,0,1
1,0.0,9,1,25,1,25,64,0,0,16,1,1,1,0,0,0,9,252.0,2585.0,231500,37,81,0,81,30,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,64,1,16,9,1,1,0,0,0,0,0,166.0,1286.0,108000,17,0,0,81,30,0,1,0,0,0,0,1,0
1,0.0,9,1,9,1,25,64,0,0,9,1,0,1,1,0,0,4,200.33333333333334,1839.0,120000,25,81,0,81,25,0,1,0,0,0,0,1,0
1,57.0,9,1,9,1,25,64,0,0,9,1,0,0,0,0,0,0,197.6,1815.0,128500,10,81,0,81,25,0,0,0,0,1,1,0,0
1,0.0,9,1,16,1,16,64,1,16,9,1,0,0,1,0,0,0,205.6,1028.0,115000,2,81,0,81,30,0,1,0,0,0,0,1,0
1,0.0,9,1,9,1,25,64,0,0,9,1,0,1,0,0,0,1,256.8,1596.0,110000,5,81,0,81,35,0,1,0,0,0,0,1,0
1,1050.0,9,1,9,1,25,64,1,16,16,1,1,1,1,0,0,0,327.1111111111111,3354.0,150000,37,81,0,256,27,0,0,0,0,1,1,0,0
1,0.0,16,1,25,1,25,64,1,16,16,1,1,1,0,0,0,0,235.66666666666666,1414.0,178000,2,81,0,144,40,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,64,1,16,16,1,0,0,0,0,1,4,201.125,1609.0,199500,2,81,0,81,49,0,0,0,0,1,0,1,0
1,0.0,9,1,25,1,25,64,1,9,9,1,1,1,0,0,0,0,254.16666666666666,2225.0,183500,37,81,0,81,30,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,25,1,1,9,1,0,1,0,0,1,9,236.57142857142858,1913.0,126000,10,81,0,36,25,0,0,0,0,0,0,1,0
1,0.0,9,1,4,1,25,64,0,0,9,1,0,1,0,0,0,0,263.75,1433.0,148500,26,81,0,81,42,0,0,1,0,0,0,1,0
1,0.0,9,1,25,1,25,64,0,0,16,1,1,0,1,0,0,0,193.14285714285714,1352.0,149000,2,81,0,144,35,0,0,0,1,0,0,1,0
1,0.0,9,1,9,1,25,64,1,9,9,1,0,1,0,0,0,0,242.66666666666666,1845.0,137900,26,81,0,81,30,0,0,1,0,0,0,1,0
1,0.0,9,1,25,1,25,64,1,16,16,1,1,1,0,0,0,0,286.5,3338.0,324000,37,81,0,144,40,0,1,0,0,0,0,1,0
1,0.0,9,1,9,0,16,64,0,0,9,1,0,0,1,0,0,0,172.8,1332.0,98000,10,0,0,81,30,0,1,0,0,0,0,1,0
1,359.0,9,1,9,1,25,64,0,0,9,1,1,0,0,0,0,0,197.4,1445.0,103400,5,81,0,81,30,0,0,0,0,0,1,0,0
1,0.0,9,1,16,0,25,64,0,0,9,0,0,0,1,0,0,0,170.0,1020.0,94000,2,0,0,144,40,0,0,0,1,0,0,1,0
1,108.0,16,1,25,1,25,64,1,16,16,1,1,1,0,0,0,0,259.0,1578.0,209500,37,81,0,144,40,0,0,0,1,0,0,0,1
1,662.0,9,1,25,1,25,64,1,25,25,1,1,1,0,0,0,0,339.0,3390.0,545224,2,81,0,225,50,0,1,0,0,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,16,0,1,0,0,0,1,0,222.85714285714286,1560.0,159900,2,0,0,256,48,0,0,0,0,1,0,1,0
1,0.0,9,1,25,1,25,64,0,0,9,1,0,0,0,0,0,0,216.0,984.0,141000,5,81,0,81,20,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,64,1,9,9,1,0,0,0,0,0,0,209.88888888888889,2621.0,215000,26,81,0,81,30,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,64,0,0,9,1,0,1,0,0,0,0,173.33333333333334,1699.0,127000,26,81,0,144,40,0,0,0,0,0,0,1,0
1,0.0,9,1,9,1,25,64,0,0,9,1,1,0,0,0,0,0,234.4,2126.0,128000,17,81,0,81,35,0,1,0,0,0,0,1,0
1,0.0,1,1,25,1,25,64,1,16,16,1,1,1,0,1,0,0,236.33333333333334,2450.0,267916,37,81,0,144,40,0,1,0,0,0,0,1,0
1,0.0,4,1,9,1,16,64,1,16,9,1,0,0,0,0,1,0,227.83333333333334,1792.0,127500,5,81,0,81,36,0,0,0,0,1,0,1,0
1,500.0,0,1,25,1,25,64,1,25,16,1,0,0,1,0,0,0,274.57142857142856,1922.0,198500,0,81,0,144,35,0,0,0,0,0,1,0,0
1,210.0,9,1,9,1,25,64,1,9,16,1,1,0,0,0,0,16,203.14285714285714,2238.0,175500,40,81,0,144,36,1,0,0,0,0,1,0,0
1,144.0,9,1,25,1,25,64,1,9,16,1,1,1,0,0,0,0,263.14285714285717,2683.0,217500,37,81,0,144,35,0,0,0,1,0,1,0,0
1,0.0,9,1,25,1,25,64,1,9,9,1,1,0,1,0,0,16,218.0,1962.0,149500,2,81,0,36,20,1,0,0,0,0,0,1,0
1,165.0,9,1,25,1,25,64,1,9,9,1,0,1,0,0,0,0,224.0,1764.0,148800,17,81,0,144,35,0,0,0,0,0,1,0,0
1,208.0,9,1,25,1,25,64,1,16,25,1,1,1,0,0,0,0,260.72727272727275,3108.0,556581,37,81,0,144,45,0,1,0,0,0,0,0,1
1,0.0,9,1,16,1,25,64,1,16,9,1,1,0,0,0,1,0,246.33333333333334,2328.0,156500,34,81,0,81,18,0,1,0,0,0,0,1,0
1,0.0,16,1,25,1,25,64,1,9,16,1,1,1,0,0,0,0,249.375,2680.0,237000,37,81,0,256,35,0,0,0,1,0,0,1,0
1,0.0,9,1,4,1,25,64,0,0,9,1,1,1,0,0,0,1,182.4,1302.0,120000,20,81,0,81,35,1,0,0,0,0,0,1,0
1,0.0,9,1,25,1,25,64,0,0,16,1,1,1,0,0,0,0,221.0,2244.0,203000,37,81,0,81,30,0,0,0,1,0,0,1,0
1,0.0,9,1,9,1,25,64,0,0,9,1,1,1,0,0,0,0,240.8,1204.0,130000,2,81,0,81,40,0,0,0,0,0,0,1,0
1,360.0,9,1,9,1,25,64,0,0,9,1,1,1,0,0,1,0,230.14285714285714,2391.0,167900,40,81,0,81,36,0,0,0,0,0,1,0,0
1,160.0,9,0,9,0,25,64,0,0,9,1,0,1,0,0,0,0,160.0,1749.0,129000,26,81,0,81,20,0,0,0,0,0,1,0,0
1,64.0,9,1,9,1,25,49,1,4,16,1,0,0,0,0,0,9,206.0,1596.0,134450,17,81,0,81,30,0,0,0,0,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,16,0,0,0,1,0,0,0,202.28571428571428,1416.0,112000,2,81,0,144,35,0,0,0,0,1,0,1,0
1,360.0,9,1,25,1,25,64,1,9,16,1,1,1,0,0,1,16,267.57142857142856,2802.0,207000,40,81,0,144,35,0,0,0,0,0,1,0,0
1,0.0,4,1,9,0,25,4,0,0,9,1,0,1,0,0,0,0,193.45454545454547,2128.0,62500,2,0,0,81,5,1,0,0,0,0,0,1,0
1,106.0,9,1,25,1,25,64,0,0,16,1,0,1,0,0,0,0,271.0,2199.0,154000,37,81,0,144,35,0,0,0,1,0,0,0,1
1,0.0,9,1,9,1,16,64,0,0,9,1,0,0,0,0,0,0,163.2,1524.0,129900,37,81,0,81,35,0,1,0,0,0,0,1,0
1,0.0,9,1,9,1,25,64,0,0,9,1,1,0,0,0,0,0,278.0,1473.0,85000,25,81,0,81,15,0,1,0,0,0,0,1,0
1,0.0,9,1,9,1,25,64,1,16,9,1,0,0,1,0,0,0,222.2,1111.0,116900,2,81,0,81,49,0,0,0,0,1,0,1,0
1,0.0,9,1,9,1,25,64,1,9,9,1,1,0,0,0,0,0,205.85714285714286,1752.0,148500,26,81,0,81,36,0,0,1,0,0,0,1,0
1,0.0,9,0,4,0,16,64,0,0,4,1,0,0,0,0,0,9,184.8,1272.0,80000,17,81,0,36,16,1,0,0,0,0,0,1,0
1,0.0,9,1,9,1,25,64,0,0,9,1,1,0,0,0,0,0,225.2,2186.0,152000,29,81,0,81,25,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,64,0,0,9,1,1,0,1,0,0,9,165.33333333333334,992.0,155891,2,81,0,144,30,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,64,0,0,16,0,0,1,1,0,0,0,196.57142857142858,1376.0,165000,2,81,0,144,42,0,0,0,0,1,0,1,0
